clase,stel_sku,stel_nombre,canonico_sku,canonico_nombre,marca,duplicados_del_mismo_canonico,ficha_stel,ficha_canonico,docs_stel,movimientos_stel,stock_stel,decision_propuesta,motivo
"GRUPO_MUCHOS_A_UNO","PRO05029","RIVIT RIV504 Ring nut 4337800 Pos 35","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05030","RIVIT RIV504 Silencer 4172900 Pos 36","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05031","RIVIT RIV504 End collector body 4173300 Pos 37","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05032","RIVIT RIV504 Silencer 4173000 Pos 38","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05033","RIVIT RIV504 End silencer 4173400 Pos 39","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05034","RIVIT RIV504 Left handle 4144300 Pos 40","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05035","RIVIT RIV504 Right handle 4144400 Pos 41","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05036","RIVIT RIV504 Trigger 4144900* Pos 42","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05037","RIVIT RIV504 Trigger lever 4338200 Pos 43","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05038","RIVIT RIV504 Valve 4338300 Pos 44","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05039","RIVIT RIV504 O-ring 4338400 Pos 45","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05040","RIVIT RIV504 Air valve 4338500 Pos 46","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05041","RIVIT RIV504 Spacer 4338600 Pos 47","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05042","RIVIT RIV504 Screw connection 4338700 Pos 48","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05043","RIVIT RIV504 Ring nut 4317100 Pos 49","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05044","RIVIT RIV504 Screw 4317200 Pos 50","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05045","RIVIT RIV504 Valve 4341500 Pos 51","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05046","RIVIT RIV504 O-ring 4341600 Pos 52","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05047","RIVIT RIV504 Screw 4145000 Pos 53","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05048","RIVIT RIV504 Air valve body 4342700 Pos 54A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05049","RIVIT RIV504 Air valve ring 4137600** Pos 55","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05050","RIVIT RIV504 O-ring for air valve piston 4137700** Pos 56","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05051","RIVIT RIV504 Air valve base 4137800* Pos 57","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05052","RIVIT RIV504 Connector 4311500 Pos 58","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05053","RIVIT RIV504 O-ring for valve piston 4225400 Pos 59","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05054","RIVIT RIV504 Connector 4342800 Pos 60","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05055","RIVIT RIV504 O-ring 4225500 Pos 61","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05056","RIVIT RIV504 Rotanting valve 4294000* Pos 62","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05057","RIVIT RIV504 Hose air 4225800 Pos 62A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05058","RIVIT RIV504 Air valve piston 4135400* Pos 63A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05059","RIVIT RIV504 Screw 4305200 Pos 64","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05060","RIVIT RIV504 Silencer 4342900 Pos 65","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05061","RIVIT RIV504 Cylinder bottom 4343000 Pos 66A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05062","RIVIT RIV504 O-ring 4135500 Pos 67","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05063","RIVIT RIV504 Screw 4340000 Pos 68A","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05064","RIVIT RIV504 Ring nut 4340200 Pos 69","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05069","RIVIT RIV504 Piston ring 4225700 Pos 74","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05070","RIVIT RIV504 Tube 4265100 Pos 75","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05071","RIVIT RIV504 Oil stem 4265200 Pos 76","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05072","RIVIT RIV504 Bottom 4265300 Pos 77","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05074","RIVIT RIV504 Screw 4265400 Pos 79","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05075","RIVIT RIV504 O-ring 4265500 Pos 80","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05076","RIVIT RIV504 Cylinder 4343200 Pos 81","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05077","RIVIT RIV504 Protection bottom 4343300 Pos 82","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05078","RIVIT RIV504 Gasket 4239600 Pos 83","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05079","RIVIT RIV504 Seal bolt 4317400 Pos 84","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05080","RIVIT RIV504 Hook balancer 4317500 Pos 85","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05081","RIVIT RIV504 Nosepiece ø 6,0-6,4 Al-Fe 4041700 Pos 86","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05082","RIVIT RIV504 Nosepiece d.4,0 4199200 Pos 87","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05083","RIVIT RIV504 Nosepiece d.4,8 4169100 Pos 88","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05084","RIVIT RIV504 Nosepiece ø 6,4 x Magnariv rivets 4041800 Pos 89","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05085","RIVIT RIV504 Nosepiece ø 4,8 3/16 x Monriv rivets 2524800 Pos 90","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05086","RIVIT RIV504 Nosepiece ø 6,4 1/4 for Monriv rivets 4041900 Pos 91","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05087","RIVIT RIV504 Nosepiece ø 6,4 for Lockriv rivets 4173500 Pos 92","RV.RIV504","RIVIT RIV504 REMACHADORA HIDRONEUMATICA HASTA D 6,4 mm  - 4035800","RIVIT","94","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","94 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05153","ESTIC EH2-R2120-S Recta de 24 a 120NM","ET.EH2-R2120-S","ESTIC EH2-R2120-S STRAIGHT TOOL 120NM","ESTIC","3","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","3 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05156","TOHNICHI 05T04762 - PARA QSP280N3","TC.QSP280N3","TOHNICHI QSP280N3 TORQUE WRENCH","TOHNICHI","3","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","3 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05158","TOHNICHI 07T50410 - PARA QSP280N3","TC.QSP280N3","TOHNICHI QSP280N3 TORQUE WRENCH","TOHNICHI","3","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","3 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05159","TOHNICHI 12T03405 - PARA QSP280N3","TC.QSP280N3","TOHNICHI QSP280N3 TORQUE WRENCH","TOHNICHI","3","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","3 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05160","TOHNICHI 01T77411 - PARA QSP50N3","TC.QSP50N3","TOHNICHI QSP50N3 TORQUE WRENCH","TOHNICHI","6","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","6 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05161","TOHNICHI 01T77410 - PARA QSP50N3","TC.QSP50N3","TOHNICHI QSP50N3 TORQUE WRENCH","TOHNICHI","6","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","6 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05162","TOHNICHI 05T03405 - PARA QSP50N3","TC.QSP50N3","TOHNICHI QSP50N3 TORQUE WRENCH","TOHNICHI","6","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","6 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05163","TOHNICHI 00T16061C - 00T28591C - PARA QSP50N3","TC.QSP50N3","TOHNICHI QSP50N3 TORQUE WRENCH","TOHNICHI","6","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","6 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"GRUPO_MUCHOS_A_UNO","PRO05164","TOHNICHI 03T50410 - PARA QSP50N3","TC.QSP50N3","TOHNICHI QSP50N3 TORQUE WRENCH","TOHNICHI","6","1","3","0","0","sin saldo registrado","NO APLICAR - revisar a mano","6 productos distintos apuntan al mismo canonico: casi seguro son piezas o accesorios que nombran su maquina"
"PAR_1_A_1","PRO05207","TORERO OBT-50PD DE 7 A 16NM","TO.OBT-50PD","TORERO OBT-50PD DE 7 NM A 16 NM","TORERO","1","1","10","0","1","10","revisar: tiene stock","el técnico tiene la ficha, pero el de STEL tiene SALDO de stock"
"PAR_1_A_1","PRO05214","TOHNICHI QH22D CABEZA 3/4"" SA.","TC.QH22D","TOHNICHI QH22D RATCHET HEAD 3/4 sq.dr.","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05219","TORERO OBN-70PD PISTOLA DE 40 A 60 NM","TO.OBN-70PD","TORERO OBN-70PD DE 50 NM A 70 NM","TORERO","1","1","10","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05221","TOHNICHI SH10DX18 CABEZA 18MM","TC.SH10DX18","TOHNICHI SH10DX18 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05223","TOHNICHI CSP100N3X15D","TC.CSP100N3X15D","TOHNICHI CSP100N3X15D TORQUE WRENCH","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05224","TOHNICHI SH15DX14","TC.SH15DX14","TOHNICHI SH15DX14 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05225","TOHNICHI SH10DX10 CABEZA 10MM","TC.SH10DX10","TOHNICHI SH10DX10 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05226","TOHNICHI RH19DX19 CABEZA CERRADA 19MM","TC.RH19DX19","TOHNICHI RH19DX19 RING HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05272","TOHNICHI SH10DX11 CABEZA 11MM","TC.SH10DX11","TOHNICHI SH10DX11 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05273","TOHNICHI SH10DX13 CABEZA 13MM","TC.SH10DX13","TOHNICHI SH10DX13 OPEN END HEAD","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05298","TORERO LTU-12SH-4 SCREWDRIVER DE 0.5 A 4.5 NM 850RPM","TO.LTU-12SH-4","TORERO LTU-12SH-4 DE 0.4 NM A 4.5 NM","TORERO","1","1","10","3","1","7","revisar: tiene stock","el técnico tiene la ficha, pero el de STEL tiene SALDO de stock"
"PAR_1_A_1","PRO05299","TORERO LTR-12SH-4 SCREWDRIVER DE 0.4 A 4.2 NM 750RPM","TO.LTR-12SH-4","TORERO LTR-12SH-4 DE 0.4 NM A 4.2 NM","TORERO","1","1","10","4","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha; el de STEL tiene 4 documento(s) y hay que conservarlos"
"PAR_1_A_1","PRO05445","TOHNICHI SP38NX19 - DE 3,5 A 19,00 NM","TOH.SP38NX19","TOHNICHI SP38NX19","TOHNICHI","1","1","3","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
"PAR_1_A_1","PRO05512","APEX 4402X","AP.440-2X","APEX 440-2X PUNTA","APEX","1","1","9","0","0","sin saldo registrado","retirar el de STEL","el técnico tiene la ficha y el de STEL no tiene historia ni stock"
